iter	Logloss
0	0.6918931682
1	0.6907494128
2	0.6896374565
3	0.6885854441
4	0.6876145233
5	0.6866855087
6	0.6858085078
7	0.684969137
8	0.6841903322
9	0.6834277768
10	0.6827012966
11	0.6820211544
12	0.6813488648
13	0.6807471706
14	0.6801577606
15	0.6795985948
16	0.6790636087
17	0.6785383411
18	0.6780332881
19	0.6775606561
20	0.6771049733
21	0.6766714487
22	0.676245388
23	0.6758444399
24	0.6754522775
25	0.675072166
26	0.6747155345
27	0.6743875921
28	0.6740563066
29	0.6737369943
30	0.6734247571
31	0.6731054447
32	0.6728203417
33	0.6725254424
34	0.6722482696
35	0.6719758396
36	0.6717138278
37	0.6714577248
38	0.6712087747
39	0.6709717201
40	0.6707319444
41	0.670493568
42	0.6702435295
43	0.6699839279
44	0.6697387874
45	0.6695209367
46	0.6693110163
47	0.6690658758
48	0.6688687839
49	0.6686632951
50	0.6684388357
51	0.6682562049
52	0.668078861
53	0.6678979407
54	0.6677045807
55	0.6675256818
56	0.6673847241
57	0.6672254179
58	0.6670714762
59	0.666920489
60	0.6667754884
61	0.6666160266
62	0.6664933398
63	0.6663235375
64	0.6661705288
65	0.666013244
66	0.6658664551
67	0.6657335833
68	0.6655956578
69	0.6654691613
70	0.6653504396
71	0.6652191227
72	0.6651049882
73	0.6649719608
74	0.6648448424
75	0.6647059061
76	0.6645802649
77	0.6644499587
78	0.6643276606
79	0.6641743409
80	0.6640663485
81	0.6639413293
82	0.6638273502
83	0.6637090951
84	0.6635798774
85	0.6634434291
86	0.6633304608
87	0.663217337
88	0.6631199184
89	0.663000186
90	0.6628823195
91	0.6627768928
92	0.662664391
93	0.662551656
94	0.662458047
95	0.6623409581
96	0.6622371641
97	0.6621311931
98	0.6620368067
99	0.6619380663
100	0.661839637
101	0.6617537251
102	0.6616713119
103	0.6615877324
104	0.6615000323
105	0.6614166862
106	0.6613192675
107	0.6612133743
108	0.6611200764
109	0.6610294996
110	0.6609365126
111	0.6608354398
112	0.6607485172
113	0.660643246
114	0.6605609105
115	0.6604742211
116	0.6603888535
117	0.6603052741
118	0.6602321907
119	0.6601578633
120	0.6600526698
121	0.6599681574
122	0.6598928193
123	0.6598002988
124	0.6597225505
125	0.6596332177
126	0.6595330779
127	0.6594331713
128	0.659364053
129	0.6592930688
130	0.6592146208
131	0.6591361727
132	0.6590478507
133	0.6589669924
134	0.6588838795
135	0.6587957906
136	0.6587084793
137	0.6586277765
138	0.6585459853
139	0.6584757009
140	0.6583880785
141	0.6583200487
142	0.6582409787
143	0.6581515682
144	0.6580760745
145	0.6579930393
146	0.6579144358
147	0.6578422854
148	0.6577761216
149	0.6577041266
150	0.6576266893
151	0.6575451313
152	0.6574634956
153	0.6574001307
154	0.6573278248
155	0.6572501543
156	0.6571780816
157	0.6570693117
158	0.6570038476
159	0.6569344961
160	0.6568681768
161	0.6567882515
162	0.6567244979
163	0.6566292563
164	0.6565543069
165	0.656493741
166	0.6564169256
167	0.6563381666
168	0.6562668714
169	0.6561983751
170	0.6561117635
171	0.6560458329
172	0.6559806021
173	0.6559242346
174	0.6558551941
175	0.6557862313
176	0.6557180461
177	0.6556412307
178	0.6555445118
179	0.6554779593
180	0.6553952351
181	0.6553238621
182	0.6552222451
183	0.6551532823
184	0.6550841641
185	0.6549997294
186	0.6549229141
187	0.6548515412
188	0.6547839779
189	0.6547044414
190	0.6546371113
191	0.6545524434
192	0.6544717407
193	0.6543960916
194	0.6543195095
195	0.6542601875
196	0.6541823615
197	0.6541116882
198	0.6540397711
199	0.6539778057
200	0.6539138188
201	0.6538377032
202	0.6537715394
203	0.6537103515
204	0.653641622
205	0.6535805895
206	0.6535051737
207	0.6534400983
208	0.6533946933
209	0.6533240201
210	0.6532510145
211	0.6531830624
212	0.6530995608
213	0.6530174585
214	0.6529439086
215	0.6528653051
216	0.6527903557
