iter	Passed	Remaining
0	16	33885
1	33	33383
2	48	32509
3	65	32488
4	81	32479
5	97	32508
6	113	32373
7	129	32282
8	145	32193
9	161	32093
10	178	32229
11	194	32185
12	209	31969
13	217	30873
14	231	30699
15	247	30643
16	257	30061
17	272	29952
18	286	29870
19	301	29888
20	317	29931
21	334	30053
22	349	30023
23	363	29940
24	379	29948
25	393	29907
26	408	29881
27	423	29812
28	438	29799
29	447	29365
30	462	29353
31	477	29338
32	492	29370
33	507	29360
34	521	29280
35	536	29242
36	546	29006
37	560	28939
38	574	28893
39	588	28830
40	602	28784
41	616	28727
42	630	28678
43	644	28654
44	658	28615
45	672	28562
46	686	28519
47	699	28459
48	713	28411
49	727	28365
50	740	28315
51	755	28286
52	769	28256
53	783	28228
54	792	28024
55	806	27982
56	819	27939
57	833	27913
58	847	27865
59	859	27798
60	872	27742
61	885	27692
62	898	27634
63	910	27557
64	923	27483
65	936	27446
66	949	27395
67	962	27352
68	975	27301
69	988	27252
70	1001	27216
71	1014	27173
72	1028	27141
73	1041	27094
74	1054	27062
75	1067	27035
76	1081	27019
77	1095	27005
78	1109	26981
79	1122	26951
80	1136	26924
81	1150	26900
82	1163	26869
83	1176	26838
84	1190	26816
85	1203	26780
86	1216	26757
87	1231	26749
88	1244	26726
89	1257	26697
90	1271	26670
91	1285	26654
92	1298	26636
93	1312	26607
94	1325	26580
95	1339	26563
96	1352	26539
97	1365	26509
98	1379	26483
99	1393	26482
100	1405	26434
101	1418	26392
102	1431	26370
103	1445	26349
104	1458	26317
105	1470	26280
106	1482	26219
107	1495	26190
108	1508	26168
109	1521	26136
110	1533	26103
111	1546	26065
112	1558	26032
113	1571	26004
114	1584	25973
115	1597	25942
116	1610	25916
117	1622	25883
118	1635	25854
119	1648	25826
120	1661	25808
121	1674	25778
122	1687	25752
123	1700	25731
124	1713	25697
125	1725	25667
126	1737	25631
127	1750	25602
128	1763	25581
129	1776	25557
130	1789	25530
131	1799	25464
132	1812	25442
133	1825	25419
134	1838	25397
135	1851	25373
136	1864	25350
137	1877	25338
138	1891	25318
139	1904	25298
140	1917	25279
141	1930	25265
142	1944	25247
143	1956	25222
144	1969	25192
145	1981	25166
146	1994	25139
147	2006	25110
148	2018	25073
149	2030	25038
150	2042	25004
151	2053	24971
152	2066	24941
153	2078	24915
154	2091	24890
155	2103	24867
156	2115	24838
157	2128	24819
158	2142	24803
159	2155	24790
160	2168	24769
161	2181	24745
162	2193	24719
163	2205	24695
164	2219	24679
165	2232	24664
166	2245	24651
167	2259	24638
168	2272	24623
169	2286	24609
170	2299	24594
171	2312	24576
172	2325	24557
173	2339	24550
174	2352	24538
175	2366	24526
176	2379	24507
177	2392	24485
178	2405	24468
179	2418	24449
180	2430	24430
181	2443	24410
182	2457	24398
183	2469	24377
184	2483	24360
185	2496	24343
186	2509	24325
187	2521	24300
188	2533	24280
189	2546	24258
190	2559	24242
191	2572	24220
192	2585	24205
193	2597	24185
194	2610	24160
195	2623	24143
196	2635	24122
197	2647	24097
198	2660	24079
199	2673	24065
200	2687	24052
201	2699	24030
202	2712	24014
203	2725	23995
204	2739	23985
205	2751	23965
206	2765	23951
207	2777	23933
208	2790	23916
209	2803	23895
210	2816	23876
211	2828	23858
212	2841	23840
213	2854	23822
214	2867	23807
215	2881	23797
216	2894	23779
217	2907	23764
218	2919	23744
219	2932	23726
220	2945	23710
221	2958	23693
222	2971	23678
223	2984	23662
224	2998	23657
225	3011	23639
226	3024	23620
227	3037	23606
228	3050	23588
229	3063	23574
230	3076	23557
231	3089	23542
232	3102	23524
233	3114	23506
234	3128	23493
235	3140	23475
236	3153	23460
237	3166	23445
238	3179	23428
239	3192	23414
240	3205	23393
241	3217	23374
242	3230	23359
243	3243	23345
244	3257	23331
245	3269	23311
246	3282	23294
247	3294	23275
248	3306	23254
249	3319	23238
250	3333	23227
251	3346	23210
252	3359	23200
253	3372	23184
254	3386	23172
255	3398	23154
256	3411	23137
257	3424	23119
258	3436	23102
259	3450	23090
260	3463	23075
261	3475	23056
262	3488	23040
263	3501	23023
